,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
1,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
2,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
3,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
4,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
5,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
6,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
7,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
8,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
9,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
10,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
11,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
12,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
13,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
14,0.37016129,0.372321429,0.37016129,0.370833333,0.37016129,0.420833333,0.42016129,0.42016129,0.420833333,0.37016129,0.370833333,0.37016129
15,0.38016129,0.382321429,0.38016129,0.380833333,0.38016129,0.470833333,0.47016129,0.47016129,0.470833333,0.38016129,0.380833333,0.38016129
16,0.40016129,0.402321429,0.40016129,0.400833333,0.40016129,0.630833333,0.63016129,0.63016129,0.630833333,0.40016129,0.400833333,0.40016129
17,0.40016129,0.402321429,0.40016129,0.400833333,0.40016129,0.630833333,0.63016129,0.63016129,0.630833333,0.40016129,0.400833333,0.40016129
18,0.40016129,0.402321429,0.40016129,0.400833333,0.40016129,0.630833333,0.63016129,0.63016129,0.630833333,0.40016129,0.400833333,0.40016129
19,0.40016129,0.402321429,0.40016129,0.400833333,0.40016129,0.630833333,0.63016129,0.63016129,0.630833333,0.40016129,0.400833333,0.40016129
20,0.40016129,0.402321429,0.40016129,0.400833333,0.40016129,0.630833333,0.63016129,0.63016129,0.630833333,0.40016129,0.400833333,0.40016129
21,0.38016129,0.382321429,0.38016129,0.380833333,0.38016129,0.470833333,0.47016129,0.47016129,0.470833333,0.38016129,0.380833333,0.38016129
22,0.38016129,0.382321429,0.38016129,0.380833333,0.38016129,0.470833333,0.47016129,0.47016129,0.470833333,0.38016129,0.380833333,0.38016129
23,0.38016129,0.382321429,0.38016129,0.380833333,0.38016129,0.470833333,0.47016129,0.47016129,0.470833333,0.38016129,0.380833333,0.38016129